回号,抽せん日,当選番号,ストレート,ボックス,セット（ストレート）,セット（ボックス）,ミニ,販売実績額
1818,2006/05/08,387,172,956.0,350.0,1778.0,626,136919600.0
1819,2006/05/09,212,128,366.0,185.0,385.0,530,104265600.0
1820,2006/05/10,694,97,586.0,181.0,1229.0,346,101284000.0
1821,2006/05/11,994,148,258.0,205.0,342.0,239,106095000.0
1822,2006/05/12,176,101,597.0,186.0,1167.0,419,112624200.0
1823,2006/05/15,109,242,748.0,353.0,1194.0,894,137505800.0
1824,2006/05/16,423,167,698.0,329.0,1138.0,706,99196600.0
1825,2006/05/17,694,77,527.0,189.0,1191.0,289,100124800.0
1826,2006/05/18,299,73,245.0,142.0,426.0,655,104822600.0
1827,2006/05/19,908,99,473.0,227.0,1032.0,533,107933600.0
1828,2006/05/22,493,108,693.0,189.0,1330.0,429,134413200.0
1829,2006/05/23,962,74,636.0,180.0,1298.0,473,100637800.0
1830,2006/05/24,287,85,559.0,232.0,1249.0,470,103483000.0
1831,2006/05/25,941,96,621.0,163.0,1310.0,556,109451400.0
1832,2006/05/26,598,91,415.0,183.0,902.0,470,114716000.0
1833,2006/05/29,873,173,964.0,327.0,1682.0,562,139920400.0
1834,2006/05/30,293,116,693.0,256.0,1450.0,413,105370400.0
1835,2006/05/31,896,105,666.0,231.0,1328.0,481,107855000.0
1836,2006/06/01,792,104,865.0,250.0,1804.0,477,108876000.0
1837,2006/06/02,198,122,971.0,411.0,2099.0,636,117712800.0
1838,2006/06/05,173,203,1075.0,275.0,1812.0,852,142062000.0
1839,2006/06/06,850,92,507.0,176.0,1087.0,799,106180000.0
1840,2006/06/07,795,100,551.0,179.0,1045.0,527,102968600.0
1841,2006/06/08,858,108,370.0,182.0,557.0,530,105092000.0
1842,2006/06/09,640,86,488.0,184.0,1109.0,326,107452800.0
1843,2006/06/12,269,195,1012.0,385.0,1622.0,767,132366200.0
1844,2006/06/13,178,151,648.0,341.0,1282.0,653,97424400.0
1845,2006/06/14,333,538,,,,848,99832800.0
1846,2006/06/15,862,83,679.0,216.0,1355.0,409,99977000.0
1847,2006/06/16,612,212,847.0,416.0,1562.0,400,110395200.0
1848,2006/06/19,696,126,340.0,184.0,461.0,617,132242600.0
1849,2006/06/20,127,237,668.0,299.0,1115.0,671,103142600.0
1850,2006/06/21,691,97,760.0,237.0,1647.0,592,101433400.0
1851,2006/06/22,150,166,469.0,130.0,1034.0,286,101043800.0
1852,2006/06/23,572,174,861.0,268.0,1636.0,471,108698400.0
1853,2006/06/26,420,167,663.0,271.0,1159.0,407,131628000.0
1854,2006/06/27,980,71,451.0,153.0,1029.0,335,102000200.0
1855,2006/06/28,567,111,534.0,280.0,880.0,421,101542400.0
1856,2006/06/29,618,215,691.0,393.0,1169.0,528,102402800.0
1857,2006/06/30,218,151,718.0,338.0,1583.0,406,110583600.0
1858,2006/07/03,878,148,295.0,211.0,438.0,577,132955000.0
1859,2006/07/04,878,122,210.0,175.0,371.0,567,101397600.0
1860,2006/07/05,117,251,309.0,384.0,476.0,416,100907800.0
1861,2006/07/06,095,91,459.0,190.0,996.0,424,106448800.0
1862,2006/07/07,890,134,672.0,317.0,1447.0,479,110325400.0
1863,2006/07/10,236,182,1067.0,324.0,1863.0,618,133092600.0
1864,2006/07/11,926,129,696.0,277.0,1395.0,455,100156400.0
1865,2006/07/12,299,111,275.0,168.0,431.0,656,101186800.0
1866,2006/07/13,675,81,476.0,138.0,911.0,584,100969600.0
1867,2006/07/14,702,192,524.0,214.0,1016.0,580,107077800.0
1868,2006/07/17,733,117,361.0,165.0,554.0,680,112222600.0
1869,2006/07/18,544,118,236.0,162.0,364.0,970,94763000.0
1870,2006/07/19,847,113,456.0,146.0,933.0,476,94576600.0
1871,2006/07/20,973,78,610.0,208.0,1227.0,512,98349600.0
1872,2006/07/21,496,133,654.0,250.0,1408.0,729,102268000.0
1873,2006/07/24,638,393,1300.0,731.0,2031.0,676,125148800.0
1874,2006/07/25,806,85,381.0,191.0,750.0,267,97600800.0
1875,2006/07/26,666,623,,,,606,97964600.0
1876,2006/07/27,129,181,666.0,334.0,1301.0,506,96721600.0
1877,2006/07/28,190,156,743.0,338.0,1436.0,425,101250000.0
1878,2006/07/31,141,100,292.0,130.0,516.0,432,127674000.0
1879,2006/08/01,742,107,847.0,210.0,1724.0,466,99801600.0
1880,2006/08/02,674,111,472.0,168.0,911.0,641,96590000.0
1881,2006/08/03,558,108,302.0,195.0,373.0,530,96574600.0
1882,2006/08/04,914,121,505.0,238.0,994.0,422,101882200.0
1883,2006/08/07,076,69,405.0,137.0,933.0,470,118072600.0
1884,2006/08/08,528,145,744.0,242.0,1241.0,503,91299000.0
1885,2006/08/09,051,67,395.0,104.0,845.0,417,91185000.0
1886,2006/08/10,932,77,538.0,174.0,1255.0,589,95007000.0
1887,2006/08/11,172,82,570.0,153.0,1254.0,359,98365800.0
1888,2006/08/14,370,83,718.0,173.0,1421.0,397,108335400.0
1889,2006/08/15,647,103,437.0,174.0,835.0,482,91860600.0
1890,2006/08/16,269,168,768.0,381.0,1398.0,575,97832400.0
1891,2006/08/17,924,100,578.0,316.0,1126.0,489,99260800.0
1892,2006/08/18,183,108,962.0,272.0,1874.0,688,105123200.0
1893,2006/08/21,856,157,715.0,302.0,1298.0,846,126865200.0
1894,2006/08/22,273,246,704.0,324.0,1467.0,549,96852600.0
1895,2006/08/23,937,100,466.0,172.0,1047.0,618,95776600.0
1896,2006/08/24,656,109,200.0,135.0,293.0,438,98793400.0
1897,2006/08/25,924,132,538.0,243.0,1055.0,547,105940800.0
1898,2006/08/28,321,196,949.0,239.0,1449.0,546,130769600.0
1899,2006/08/29,374,132,601.0,306.0,1354.0,568,97239000.0
1900,2006/08/30,845,213,666.0,311.0,1281.0,610,99458800.0
1901,2006/08/31,535,103,241.0,160.0,314.0,479,102393600.0
1902,2006/09/01,899,79,241.0,171.0,332.0,808,105686200.0
1903,2006/09/04,349,134,897.0,292.0,1632.0,590,140674600.0
1904,2006/09/05,874,165,618.0,237.0,1180.0,602,102823400.0
1905,2006/09/06,104,162,521.0,255.0,903.0,363,104580000.0
1906,2006/09/07,522,139,286.0,182.0,438.0,510,105035400.0
1907,2006/09/08,815,151,643.0,347.0,1134.0,446,107640800.0
1908,2006/09/11,892,126,946.0,262.0,1713.0,606,135946200.0
1909,2006/09/12,859,66,403.0,144.0,859.0,403,97974200.0
1910,2006/09/13,468,161,597.0,316.0,1100.0,733,98393600.0
1911,2006/09/14,062,69,513.0,130.0,1110.0,327,102322600.0
1912,2006/09/15,019,82,731.0,154.0,1309.0,480,110049600.0
1913,2006/09/18,121,191,432.0,254.0,531.0,521,117063600.0
1914,2006/09/19,955,95,211.0,149.0,261.0,657,97289600.0
1915,2006/09/20,918,273,936.0,550.0,1715.0,503,100075800.0
1916,2006/09/21,586,115,616.0,186.0,1052.0,413,102139400.0
1917,2006/09/22,875,167,577.0,252.0,1084.0,822,107805400.0
1918,2006/09/25,402,136,734.0,243.0,1114.0,434,135853600.0
1919,2006/09/26,161,96,192.0,91.0,370.0,303,96772000.0
1920,2006/09/27,898,141,277.0,198.0,423.0,494,100288600.0
1921,2006/09/28,890,167,817.0,374.0,1584.0,610,105083800.0
1922,2006/09/29,448,106,271.0,218.0,282.0,577,111513000.0
1923,2006/10/02,633,202,381.0,258.0,539.0,1414,133710400.0
1924,2006/10/03,461,95,618.0,205.0,1202.0,305,101171200.0
1925,2006/10/04,757,149,354.0,175.0,381.0,716,101437000.0
1926,2006/10/05,924,244,633.0,456.0,1021.0,634,99337600.0
1927,2006/10/06,813,194,994.0,381.0,1876.0,471,98161000.0
1928,2006/10/09,113,277,434.0,320.0,431.0,428,116519800.0
1929,2006/10/10,874,141,529.0,245.0,962.0,660,90594800.0
1930,2006/10/11,402,150,469.0,281.0,919.0,308,94601000.0
1931,2006/10/12,595,102,250.0,116.0,335.0,479,98432400.0
1932,2006/10/13,887,122,256.0,177.0,443.0,669,109001600.0
1933,2006/10/16,559,189,380.0,278.0,404.0,771,133608400.0
1934,2006/10/17,700,110,180.0,150.0,263.0,869,99509800.0
1935,2006/10/18,236,211,715.0,345.0,1414.0,742,98926000.0
1936,2006/10/19,113,188,318.0,268.0,376.0,402,100755000.0
1937,2006/10/20,703,188,465.0,319.0,1077.0,439,106407000.0
1938,2006/10/23,243,129,934.0,214.0,1552.0,618,127210000.0
1939,2006/10/24,286,88,578.0,177.0,1066.0,413,97290600.0
1940,2006/10/25,440,102,217.0,179.0,332.0,407,103894000.0
1941,2006/10/26,483,119,712.0,242.0,1144.0,356,103530200.0
1942,2006/10/27,850,93,482.0,156.0,1002.0,344,108275200.0
1943,2006/10/30,588,224,565.0,229.0,812.0,803,135291200.0
1944,2006/10/31,121,170,352.0,229.0,446.0,535,103156000.0
1945,2006/11/01,855,239,415.0,271.0,573.0,796,105105400.0
1946,2006/11/02,679,169,575.0,316.0,1306.0,596,107733200.0
1947,2006/11/03,303,176,312.0,216.0,412.0,372,97703600.0
1948,2006/11/06,992,167,420.0,231.0,504.0,797,134674400.0
1949,2006/11/07,713,130,563.0,247.0,1041.0,522,97056200.0
1950,2006/11/08,630,135,556.0,266.0,1236.0,415,98755600.0
1951,2006/11/09,663,168,387.0,261.0,563.0,838,98818000.0
1952,2006/11/10,368,178,778.0,378.0,1633.0,490,104257200.0
1953,2006/11/13,972,116,868.0,232.0,1809.0,546,124796000.0
1954,2006/11/14,131,159,420.0,226.0,742.0,437,95497400.0
1955,2006/11/15,861,91,510.0,188.0,1086.0,282,97227200.0
1956,2006/11/16,432,107,579.0,168.0,1117.0,390,98695400.0
1957,2006/11/17,414,166,388.0,270.0,528.0,501,104103000.0
1958,2006/11/20,312,197,1189.0,343.0,1619.0,570,121028000.0
1959,2006/11/21,192,90,552.0,156.0,1171.0,333,96074000.0
1960,2006/11/22,460,65,354.0,135.0,809.0,373,97919800.0
1961,2006/11/23,092,66,357.0,138.0,913.0,268,85757000.0
1962,2006/11/24,395,84,502.0,185.0,1158.0,334,104006000.0
1963,2006/11/27,697,119,503.0,176.0,893.0,603,124826200.0
1964,2006/11/28,359,151,440.0,230.0,870.0,480,98756800.0
1965,2006/11/29,042,115,508.0,180.0,1085.0,497,100165600.0
1966,2006/11/30,826,176,637.0,311.0,1206.0,782,102804600.0
1967,2006/12/01,533,131,362.0,210.0,482.0,1011,107081000.0
1968,2006/12/04,407,135,740.0,316.0,1248.0,544,129201200.0
1969,2006/12/05,675,85,526.0,211.0,969.0,653,96397600.0
1970,2006/12/06,455,101,265.0,164.0,344.0,745,98943600.0
1971,2006/12/07,198,149,769.0,340.0,1639.0,579,96749200.0
1972,2006/12/08,058,80,537.0,195.0,1175.0,529,106438000.0
1973,2006/12/11,719,201,754.0,326.0,1288.0,554,131548600.0
1974,2006/12/12,692,167,841.0,306.0,1672.0,646,97260200.0
1975,2006/12/13,049,69,536.0,177.0,1162.0,363,96621600.0
1976,2006/12/14,555,732,,,,634,98198200.0
1977,2006/12/15,536,99,720.0,184.0,1297.0,614,108301200.0
1978,2006/12/18,649,149,892.0,311.0,1729.0,406,133607200.0
1979,2006/12/19,808,158,235.0,216.0,264.0,358,102056800.0
1980,2006/12/20,652,76,613.0,154.0,1132.0,425,105232400.0
1981,2006/12/21,778,126,230.0,188.0,291.0,576,101696600.0
1982,2006/12/22,833,132,268.0,146.0,404.0,835,106930800.0
1983,2006/12/25,218,200,987.0,373.0,1626.0,732,134874000.0
1984,2006/12/26,258,143,707.0,358.0,1253.0,519,96085600.0
1985,2006/12/27,824,163,654.0,313.0,1201.0,748,105943600.0
1986,2006/12/28,129,194,614.0,366.0,1255.0,562,108976000.0
1987,2006/12/29,061,62,576.0,170.0,1178.0,601,114165400.0
1988,2007/01/04,090,134,229.0,226.0,349.0,673,119527800.0
1989,2007/01/05,942,93,668.0,177.0,1635.0,506,109241400.0
1990,2007/01/08,726,176,725.0,332.0,1257.0,630,126417200.0
1991,2007/01/09,522,121,278.0,199.0,428.0,557,103360000.0
1992,2007/01/10,949,82,235.0,143.0,317.0,438,106701400.0
1993,2007/01/11,438,119,618.0,237.0,1173.0,710,105942600.0
1994,2007/01/12,305,169,620.0,299.0,1061.0,702,111298800.0
1995,2007/01/15,847,163,747.0,257.0,1381.0,653,140900800.0
1996,2007/01/16,581,136,675.0,251.0,1247.0,926,104899800.0
1997,2007/01/17,908,178,638.0,336.0,1248.0,366,102243600.0
1998,2007/01/18,580,113,507.0,151.0,1042.0,352,104790400.0
1999,2007/01/19,900,111,212.0,175.0,327.0,693,111409400.0
2000,2007/01/22,440,125,313.0,204.0,364.0,361,139302000.0
2001,2007/01/23,325,245,714.0,343.0,1196.0,649,103740200.0
2002,2007/01/24,567,171,560.0,268.0,1028.0,478,104177800.0
2003,2007/01/25,537,164,951.0,275.0,1792.0,480,107408600.0
2004,2007/01/26,810,170,530.0,247.0,1127.0,418,113950400.0
2005,2007/01/29,525,249,409.0,285.0,393.0,620,140703600.0
2006,2007/01/30,574,146,514.0,181.0,1146.0,746,107981000.0
2007,2007/01/31,311,267,807.0,283.0,1227.0,1246,111778400.0
2008,2007/02/01,624,189,823.0,356.0,1352.0,558,109229400.0
2009,2007/02/02,594,252,601.0,287.0,1359.0,553,114470800.0
2010,2007/02/05,412,234,1133.0,401.0,1810.0,695,145816000.0
2011,2007/02/06,815,268,596.0,282.0,995.0,500,107274800.0
2012,2007/02/07,539,115,655.0,250.0,1133.0,627,107176600.0
2013,2007/02/08,874,273,612.0,260.0,1128.0,385,108233400.0
2014,2007/02/09,008,205,230.0,167.0,332.0,437,113904400.0
2015,2007/02/12,842,133,1012.0,227.0,1608.0,568,122706400.0
2016,2007/02/13,268,129,614.0,275.0,1121.0,407,100173400.0
2017,2007/02/14,315,246,867.0,443.0,1636.0,382,99866400.0
2018,2007/02/15,453,145,757.0,248.0,1369.0,1019,112805600.0
2019,2007/02/16,519,239,605.0,364.0,1218.0,458,117032600.0
2020,2007/02/19,449,146,341.0,253.0,498.0,638,140948600.0
2021,2007/02/20,027,95,536.0,199.0,1108.0,689,103888000.0
2022,2007/02/21,240,83,597.0,198.0,1341.0,396,102391200.0
2023,2007/02/22,705,182,395.0,288.0,754.0,348,107338000.0
2024,2007/02/23,939,104,258.0,150.0,345.0,563,109988000.0
2025,2007/02/26,964,157,879.0,253.0,1671.0,694,137851400.0
2026,2007/02/27,160,75,464.0,155.0,955.0,276,104928800.0
2027,2007/02/28,172,134,678.0,191.0,1400.0,502,108143200.0
2028,2007/03/01,378,183,759.0,343.0,1502.0,557,109477200.0
2029,2007/03/02,308,171,570.0,384.0,1202.0,507,114824400.0
2030,2007/03/05,321,257,1151.0,377.0,1678.0,651,136394000.0
2031,2007/03/06,477,104,217.0,162.0,348.0,738,105437200.0
2032,2007/03/07,974,112,611.0,186.0,1490.0,520,102299000.0
2033,2007/03/08,417,217,823.0,446.0,1594.0,482,109295400.0
2034,2007/03/09,938,126,635.0,236.0,1387.0,666,112200200.0
2035,2007/03/12,415,313,794.0,412.0,1221.0,741,133318800.0
2036,2007/03/13,403,87,397.0,171.0,835.0,361,101436400.0
2037,2007/03/14,971,117,418.0,150.0,1077.0,381,103145000.0
2038,2007/03/15,977,160,300.0,220.0,377.0,503,105831200.0
2039,2007/03/16,231,117,684.0,127.0,1286.0,478,110940200.0
2040,2007/03/19,732,144,977.0,246.0,1861.0,609,133372400.0
2041,2007/03/20,149,187,632.0,235.0,1334.0,570,102687200.0
2042,2007/03/21,550,89,226.0,130.0,343.0,480,91573200.0
2043,2007/03/22,334,90,192.0,129.0,299.0,444,102017200.0
2044,2007/03/23,034,89,593.0,151.0,1251.0,435,110599200.0
2045,2007/03/26,632,186,1688.0,298.0,2963.0,618,133624600.0
2046,2007/03/27,707,73,167.0,141.0,219.0,308,100243200.0
2047,2007/03/28,001,84,135.0,94.0,200.0,366,103662600.0
2048,2007/03/29,984,83,466.0,164.0,1037.0,510,101432800.0
2049,2007/03/30,771,85,220.0,159.0,402.0,399,108608000.0
2050,2007/04/02,746,181,730.0,303.0,1212.0,1088,132364600.0
2051,2007/04/03,330,242,354.0,340.0,409.0,456,99212400.0
2052,2007/04/04,121,162,304.0,246.0,487.0,474,96020600.0
2053,2007/04/05,368,171,665.0,325.0,1436.0,428,101883800.0
2054,2007/04/06,379,138,608.0,309.0,1151.0,452,105474200.0
2055,2007/04/09,266,130,363.0,178.0,412.0,659,129281800.0
2056,2007/04/10,646,95,181.0,164.0,301.0,449,97536200.0
2057,2007/04/11,165,125,530.0,195.0,1200.0,462,99418600.0
2058,2007/04/12,715,168,729.0,336.0,1434.0,545,100384600.0
2059,2007/04/13,183,132,771.0,238.0,1746.0,646,110523800.0
2060,2007/04/16,223,212,391.0,319.0,414.0,661,131388400.0
2061,2007/04/17,974,102,450.0,202.0,1167.0,809,98382800.0
2062,2007/04/18,621,140,624.0,218.0,1356.0,407,98365000.0
2063,2007/04/19,519,157,521.0,318.0,889.0,608,103420200.0
2064,2007/04/20,926,177,848.0,421.0,1643.0,612,109982000.0
2065,2007/04/23,301,149,767.0,273.0,1358.0,386,133548800.0
2066,2007/04/24,456,152,532.0,320.0,858.0,500,101249200.0
2067,2007/04/25,123,362,971.0,651.0,1593.0,587,105257800.0
2068,2007/04/26,157,141,535.0,187.0,1126.0,409,108695800.0
2069,2007/04/27,306,144,593.0,317.0,1211.0,383,114560000.0
2070,2007/04/30,701,137,517.0,221.0,964.0,422,120291000.0
2071,2007/05/01,654,146,548.0,177.0,985.0,517,103010400.0
2072,2007/05/02,399,92,223.0,139.0,267.0,1119,110689200.0
2073,2007/05/03,231,113,1055.0,212.0,2171.0,676,93900600.0
2074,2007/05/04,172,99,514.0,160.0,1109.0,512,98123800.0
2075,2007/05/07,302,233,799.0,349.0,1162.0,484,136401800.0
2076,2007/05/08,827,204,546.0,314.0,1086.0,548,104497000.0
2077,2007/05/09,936,114,806.0,277.0,1655.0,570,100564400.0
2078,2007/05/10,466,87,193.0,147.0,288.0,457,101757200.0
2079,2007/05/11,725,180,778.0,377.0,1399.0,552,109390400.0
2080,2007/05/14,594,172,668.0,267.0,1391.0,419,131536600.0
2081,2007/05/15,716,148,515.0,246.0,970.0,702,99632200.0
2082,2007/05/16,178,161,561.0,257.0,1111.0,479,102367200.0
2083,2007/05/17,544,78,231.0,114.0,332.0,635,102256000.0
2084,2007/05/18,826,185,715.0,348.0,1273.0,707,110675600.0
2085,2007/05/21,522,376,521.0,490.0,570.0,790,135026200.0
2086,2007/05/22,803,117,544.0,173.0,1104.0,403,101358000.0
2087,2007/05/23,821,175,644.0,272.0,1425.0,505,100975600.0
2088,2007/05/24,407,125,486.0,225.0,812.0,350,101210200.0
2089,2007/05/25,353,102,329.0,172.0,496.0,464,101304400.0
2090,2007/05/28,642,171,1265.0,279.0,2087.0,657,133366000.0
2091,2007/05/29,428,205,700.0,370.0,1187.0,640,101608200.0
2092,2007/05/30,156,141,529.0,203.0,1190.0,422,102291400.0
2093,2007/05/31,386,133,738.0,295.0,1598.0,477,106401400.0
2094,2007/06/01,392,124,679.0,229.0,1480.0,463,114565000.0
2095,2007/06/04,242,128,376.0,143.0,572.0,557,132088600.0
2096,2007/06/05,556,111,281.0,196.0,357.0,551,103576000.0
2097,2007/06/06,045,86,421.0,194.0,881.0,476,102226800.0
2098,2007/06/07,405,200,455.0,238.0,855.0,374,101709400.0
2099,2007/06/08,032,66,462.0,106.0,1055.0,600,106967200.0
2100,2007/06/11,642,182,1317.0,300.0,2116.0,868,129049600.0
2101,2007/06/12,135,193,988.0,382.0,1959.0,542,97691400.0
2102,2007/06/13,560,98,405.0,202.0,914.0,479,96957600.0
2103,2007/06/14,989,94,229.0,178.0,344.0,1226,95844000.0
2104,2007/06/15,236,201,871.0,351.0,1795.0,674,112016600.0
2105,2007/06/18,222,647,,,,764,134144000.0
2106,2007/06/19,584,73,435.0,163.0,939.0,329,98643800.0
2107,2007/06/20,791,96,608.0,211.0,1343.0,465,99817400.0
2108,2007/06/21,106,136,506.0,286.0,899.0,401,101778400.0
2109,2007/06/22,757,65,233.0,150.0,323.0,456,100163000.0
2110,2007/06/25,859,91,497.0,172.0,1069.0,591,130106400.0
2111,2007/06/26,925,150,647.0,367.0,1267.0,586,99803600.0
2112,2007/06/27,482,116,752.0,230.0,1474.0,685,101410000.0
2113,2007/06/28,278,123,571.0,249.0,1133.0,635,102674000.0
2114,2007/06/29,453,123,635.0,201.0,1171.0,454,108054200.0
2115,2007/07/02,447,175,338.0,250.0,383.0,716,132812800.0
2116,2007/07/03,656,109,221.0,184.0,293.0,634,102324000.0
2117,2007/07/04,012,103,475.0,235.0,951.0,582,98260000.0
2118,2007/07/05,055,115,252.0,112.0,360.0,903,103609600.0
2119,2007/07/06,128,208,594.0,410.0,1190.0,544,107743000.0
2120,2007/07/09,591,115,704.0,184.0,1406.0,371,131236200.0
2121,2007/07/10,170,76,838.0,146.0,1683.0,483,98622800.0
2122,2007/07/11,778,97,226.0,186.0,359.0,470,99508400.0
2123,2007/07/12,586,93,490.0,173.0,1046.0,410,100145000.0
2124,2007/07/13,867,119,586.0,235.0,1281.0,583,104609600.0
2125,2007/07/16,864,120,645.0,166.0,1189.0,434,111107200.0
2126,2007/07/17,398,147,452.0,220.0,857.0,417,97494600.0
2127,2007/07/18,752,101,813.0,193.0,1588.0,615,98640400.0
2128,2007/07/19,600,102,156.0,124.0,199.0,675,100268600.0
2129,2007/07/20,089,150,686.0,241.0,1516.0,515,101690400.0
2130,2007/07/23,857,138,800.0,257.0,1423.0,569,121775600.0
2131,2007/07/24,287,109,606.0,148.0,1172.0,531,93465600.0
2132,2007/07/25,938,94,479.0,183.0,1066.0,712,99914400.0
2133,2007/07/26,818,161,283.0,268.0,361.0,588,99153800.0
2134,2007/07/27,391,107,584.0,203.0,1416.0,348,102481200.0
2135,2007/07/30,254,116,761.0,241.0,1643.0,545,118251200.0
2136,2007/07/31,971,70,518.0,150.0,1105.0,422,96954600.0
2137,2007/08/01,931,81,493.0,160.0,1057.0,465,96888400.0
2138,2007/08/02,498,89,425.0,176.0,858.0,365,95442200.0
2139,2007/08/03,509,141,554.0,329.0,990.0,702,101973600.0
2140,2007/08/06,318,224,887.0,397.0,1720.0,533,121238400.0
2141,2007/08/07,081,66,513.0,119.0,1027.0,378,94210200.0
2142,2007/08/08,112,124,296.0,232.0,406.0,364,91689200.0
2143,2007/08/09,987,106,747.0,274.0,1510.0,345,90143800.0
2144,2007/08/10,189,208,1246.0,636.0,2533.0,515,95926200.0
2145,2007/08/13,700,53,167.0,133.0,261.0,573,104302400.0
2146,2007/08/14,035,100,376.0,120.0,762.0,385,80017200.0
2147,2007/08/15,478,101,536.0,228.0,1051.0,654,87783200.0
2148,2007/08/16,822,138,274.0,228.0,323.0,510,92384200.0
2149,2007/08/17,703,145,487.0,362.0,969.0,396,98676800.0
2150,2007/08/20,975,89,517.0,167.0,1026.0,722,119827200.0
2151,2007/08/21,912,120,621.0,238.0,1284.0,409,94135400.0
2152,2007/08/22,730,90,408.0,161.0,878.0,358,91935800.0
2153,2007/08/23,152,91,627.0,173.0,1467.0,384,96953200.0
2154,2007/08/24,830,143,590.0,265.0,1179.0,304,104892000.0
2155,2007/08/27,494,82,269.0,154.0,372.0,479,124866800.0
2156,2007/08/28,239,94,566.0,187.0,1297.0,472,95737600.0
2157,2007/08/29,678,141,512.0,327.0,812.0,807,97002600.0
2158,2007/08/30,585,160,325.0,191.0,470.0,1188,96974600.0
2159,2007/08/31,387,108,614.0,253.0,1438.0,520,103536000.0
2160,2007/09/03,353,150,446.0,253.0,441.0,631,126371000.0
2161,2007/09/04,626,124,258.0,213.0,316.0,702,97019400.0
2162,2007/09/05,677,99,213.0,131.0,353.0,511,96004800.0
2163,2007/09/06,571,72,596.0,240.0,1314.0,318,94831600.0
2164,2007/09/07,150,97,473.0,133.0,1070.0,399,100435400.0
2165,2007/09/10,400,214,309.0,261.0,390.0,770,124787600.0
2166,2007/09/11,092,72,468.0,188.0,1042.0,511,93384200.0
2167,2007/09/12,198,136,802.0,349.0,1737.0,563,92685800.0
2168,2007/09/13,169,88,479.0,207.0,1039.0,698,95169000.0
2169,2007/09/14,618,151,647.0,352.0,1227.0,540,101597800.0
2170,2007/09/17,755,125,373.0,190.0,427.0,763,107028000.0
2171,2007/09/18,233,98,217.0,120.0,368.0,971,91479800.0
2172,2007/09/19,673,79,507.0,179.0,1028.0,543,92087000.0
2173,2007/09/20,145,110,465.0,189.0,1020.0,718,95219400.0
2174,2007/09/21,461,97,584.0,238.0,1221.0,420,98083400.0
2175,2007/09/24,938,109,589.0,191.0,1091.0,605,108034400.0
2176,2007/09/25,762,86,580.0,172.0,1119.0,481,93408000.0
2177,2007/09/26,691,80,467.0,180.0,1055.0,386,97142600.0
2178,2007/09/27,842,102,655.0,138.0,1309.0,537,97210800.0
2179,2007/09/28,009,140,237.0,165.0,339.0,524,102598000.0
2180,2007/10/01,644,98,273.0,178.0,350.0,735,119762800.0
2181,2007/10/02,809,82,558.0,193.0,1157.0,275,94598000.0
2182,2007/10/03,958,84,380.0,139.0,801.0,766,94096200.0
2183,2007/10/04,863,143,778.0,282.0,1831.0,530,95451000.0
2184,2007/10/05,236,131,751.0,302.0,1459.0,679,100633200.0
2185,2007/10/08,525,184,313.0,241.0,323.0,678,111337600.0
2186,2007/10/09,744,107,191.0,103.0,251.0,443,89581600.0
2187,2007/10/10,884,97,219.0,172.0,270.0,402,93403400.0
2188,2007/10/11,785,93,573.0,175.0,1284.0,395,95016800.0
2189,2007/10/12,561,85,511.0,190.0,1163.0,373,98402600.0
2190,2007/10/15,278,158,802.0,310.0,1318.0,1190,124472000.0
2191,2007/10/16,864,141,654.0,218.0,1161.0,370,95273400.0
2192,2007/10/17,757,112,341.0,202.0,482.0,645,97301200.0
2193,2007/10/18,832,115,630.0,229.0,1365.0,711,98239800.0
2194,2007/10/19,966,102,269.0,171.0,380.0,711,100180800.0
2195,2007/10/22,604,111,515.0,213.0,983.0,521,123315800.0
2196,2007/10/23,171,102,304.0,120.0,488.0,333,92643000.0
2197,2007/10/24,391,113,560.0,187.0,1204.0,436,92321000.0
2198,2007/10/25,614,130,572.0,253.0,1065.0,617,98401200.0
2199,2007/10/26,685,56,571.0,178.0,1186.0,526,97715400.0
2200,2007/10/29,130,161,685.0,242.0,1156.0,587,121689400.0
2201,2007/10/30,079,114,335.0,188.0,859.0,486,93496800.0
2202,2007/10/31,675,109,579.0,189.0,1097.0,461,98715400.0
2203,2007/11/01,038,73,438.0,134.0,924.0,732,98059400.0
2204,2007/11/02,254,100,581.0,210.0,1231.0,522,103050600.0
2205,2007/11/05,018,97,598.0,163.0,1071.0,693,124318000.0
2206,2007/11/06,928,145,565.0,309.0,1370.0,569,97156200.0
2207,2007/11/07,418,125,531.0,274.0,1112.0,399,97208400.0
2208,2007/11/08,955,113,394.0,192.0,473.0,1040,99211800.0
2209,2007/11/09,409,149,531.0,337.0,1079.0,474,102444000.0
2210,2007/11/12,638,313,1116.0,570.0,1703.0,880,122964600.0
2211,2007/11/13,334,92,225.0,172.0,321.0,382,95642600.0
2212,2007/11/14,785,71,544.0,159.0,1047.0,442,95630000.0
2213,2007/11/15,892,89,570.0,198.0,1181.0,576,99324800.0
2214,2007/11/16,679,114,475.0,246.0,1081.0,483,104040000.0
2215,2007/11/19,762,96,671.0,177.0,1205.0,528,123271000.0
2216,2007/11/20,652,94,616.0,144.0,1276.0,410,94885400.0
2217,2007/11/21,145,131,588.0,234.0,1397.0,587,95125600.0
2218,2007/11/22,013,128,530.0,198.0,1179.0,737,99036400.0
2219,2007/11/23,601,100,423.0,194.0,823.0,415,89177400.0
2220,2007/11/26,781,90,656.0,190.0,1330.0,409,123810800.0
