回号,抽せん日,当選番号,ストレート,ボックス,セット（ストレート）,セット（ボックス）,ミニ,販売実績額
0089,1995/09/26,697,291,1351.0,326.0,1678.0,964,309908600.0
0090,1995/09/29,689,703,2137.0,895.0,2837.0,3256,330952200.0
0091,1995/10/03,168,492,2491.0,637.0,2685.0,1448,319622200.0
0092,1995/10/06,957,292,2194.0,343.0,2305.0,1229,317476800.0
0093,1995/10/10,910,750,3019.0,727.0,2764.0,1175,287432200.0
0094,1995/10/13,933,187,564.0,173.0,684.0,684,293755400.0
0095,1995/10/17,306,515,2441.0,654.0,2710.0,778,304125200.0
0096,1995/10/20,944,208,423.0,221.0,491.0,981,303427400.0
0097,1995/10/24,988,1266,1152.0,979.0,1233.0,1647,311098000.0
0098,1995/10/27,562,403,2668.0,466.0,3250.0,1312,327597200.0
0099,1995/10/31,571,393,2648.0,447.0,2939.0,829,315088000.0
0100,1995/11/03,899,453,921.0,370.0,1874.0,1222,295364800.0
0101,1995/11/07,945,342,1661.0,373.0,2117.0,1231,310844600.0
0102,1995/11/10,560,262,1064.0,245.0,1498.0,532,303043200.0
0103,1995/11/14,824,543,3062.0,779.0,3577.0,1810,306191200.0
0104,1995/11/17,610,497,1537.0,585.0,1875.0,1092,298895800.0
0105,1995/11/21,619,465,2028.0,638.0,2560.0,1211,291413000.0
0106,1995/11/24,086,232,1705.0,227.0,2207.0,1141,292800800.0
0107,1995/11/28,082,510,3052.0,465.0,3925.0,2182,314895800.0
0108,1995/12/01,254,460,2714.0,492.0,3363.0,1085,318552000.0
0109,1995/12/05,191,234,818.0,254.0,1212.0,851,328348400.0
0110,1995/12/08,385,751,3231.0,770.0,3390.0,1167,333192400.0
0111,1995/12/12,056,322,1560.0,382.0,1880.0,1382,344839000.0
0112,1995/12/15,167,465,2059.0,626.0,2714.0,1567,346170600.0
0113,1995/12/19,744,272,446.0,254.0,655.0,1577,363904400.0
0114,1995/12/22,205,546,2706.0,721.0,3006.0,987,357861000.0
0115,1995/12/26,770,246,440.0,208.0,545.0,819,336490800.0
0116,1995/12/29,366,439,677.0,430.0,773.0,1642,358395000.0
0117,1996/01/05,952,512,3180.0,634.0,4280.0,1527,325406200.0
0118,1996/01/09,635,552,2693.0,552.0,2929.0,1839,339025400.0
0119,1996/01/12,952,641,3532.0,785.0,4447.0,1201,341004600.0
0120,1996/01/16,650,372,1888.0,438.0,2696.0,782,329817200.0
0121,1996/01/19,439,406,1626.0,493.0,2222.0,1237,350084800.0
0122,1996/01/23,458,522,2175.0,612.0,2609.0,1904,355970800.0
0123,1996/01/26,513,778,4010.0,885.0,4250.0,1799,357017000.0
0124,1996/01/30,863,625,3546.0,715.0,3871.0,1447,357243200.0
0125,1996/02/02,409,438,1780.0,619.0,2158.0,1011,339289200.0
0126,1996/02/06,318,1032,3206.0,1173.0,3462.0,1736,342465600.0
0127,1996/02/09,217,910,3270.0,1033.0,4263.0,1289,323980400.0
0128,1996/02/13,855,351,464.0,271.0,701.0,1449,296991800.0
0129,1996/02/16,620,558,1914.0,645.0,2568.0,1390,311874800.0
0130,1996/02/20,559,329,387.0,303.0,758.0,1180,305066400.0
0131,1996/02/23,820,594,2079.0,722.0,2797.0,915,324587200.0
0132,1996/02/27,016,243,1694.0,326.0,2566.0,1525,331162200.0
0133,1996/03/01,926,708,2808.0,1016.0,3803.0,1807,331617400.0
0134,1996/03/05,603,569,2783.0,670.0,3692.0,1025,322203400.0
0135,1996/03/08,454,307,492.0,264.0,788.0,1066,309542400.0
0136,1996/03/12,295,409,3323.0,556.0,5212.0,1123,317533800.0
0137,1996/03/15,819,614,1744.0,804.0,2987.0,1335,308481000.0
0138,1996/03/19,995,252,405.0,326.0,690.0,614,311956600.0
0139,1996/03/22,356,659,2296.0,702.0,2995.0,1703,301687800.0
0140,1996/03/26,054,245,1717.0,321.0,2749.0,1202,317878800.0
0141,1996/03/29,783,458,1646.0,440.0,2349.0,1111,319980200.0
0142,1996/04/02,077,309,486.0,247.0,714.0,1495,318248200.0
0143,1996/04/05,694,279,2008.0,394.0,3126.0,1120,316894800.0
0144,1996/04/09,594,387,2109.0,484.0,3753.0,967,321011000.0
0145,1996/04/12,125,870,3089.0,1103.0,4547.0,2076,312637800.0
0146,1996/04/16,766,287,336.0,271.0,611.0,1305,301169600.0
0147,1996/04/19,464,361,536.0,352.0,856.0,1176,312406200.0
0148,1996/04/23,489,583,1582.0,735.0,2561.0,2317,326783600.0
0149,1996/04/26,003,217,417.0,276.0,643.0,848,326984200.0
0150,1996/04/30,538,626,2887.0,743.0,3570.0,1546,301214400.0
0151,1996/05/03,332,472,733.0,430.0,950.0,1428,283235200.0
0152,1996/05/07,224,774,1150.0,786.0,1113.0,1614,297276000.0
0153,1996/05/10,750,322,1521.0,340.0,2136.0,1149,304683000.0
0154,1996/05/14,791,299,1828.0,341.0,2492.0,1157,315675800.0
0155,1996/05/17,126,725,2317.0,975.0,3172.0,1527,309504000.0
0156,1996/05/21,991,480,623.0,430.0,972.0,844,301006800.0
0157,1996/05/24,570,346,1446.0,350.0,2048.0,921,301527200.0
0158,1996/05/28,604,439,1550.0,534.0,2095.0,889,311973400.0
0159,1996/05/31,259,836,4145.0,1130.0,5646.0,1383,301020800.0
0160,1996/06/04,839,293,1646.0,481.0,3061.0,1104,297781800.0
0161,1996/06/07,284,545,2502.0,715.0,3514.0,1033,299444800.0
0162,1996/06/11,516,556,1949.0,720.0,2805.0,1375,285549400.0
0163,1996/06/14,648,499,1696.0,511.0,2312.0,1631,275896800.0
0164,1996/06/18,198,239,1377.0,349.0,2543.0,784,267209400.0
0165,1996/06/21,563,496,1945.0,516.0,2851.0,1244,278647800.0
0166,1996/06/25,331,649,744.0,644.0,889.0,1417,283153400.0
0167,1996/06/28,233,431,674.0,364.0,839.0,1334,295322000.0
0168,1996/07/02,107,657,2612.0,806.0,3275.0,1174,313449800.0
0169,1996/07/05,351,519,3295.0,623.0,4241.0,1070,292615800.0
0170,1996/07/09,574,369,1620.0,489.0,2561.0,922,291536400.0
0171,1996/07/12,679,304,1280.0,430.0,2239.0,815,293582000.0
0172,1996/07/16,355,438,479.0,392.0,730.0,1420,282699000.0
0173,1996/07/19,581,303,1808.0,424.0,2928.0,920,264896400.0
0174,1996/07/23,967,230,985.0,277.0,1583.0,806,259952200.0
0175,1996/07/26,683,359,1881.0,523.0,2929.0,780,268539200.0
0176,1996/07/30,203,373,1390.0,517.0,2356.0,893,261303800.0
0177,1996/08/02,845,392,1483.0,511.0,2483.0,1178,255904000.0
0178,1996/08/06,464,369,459.0,319.0,701.0,908,251821400.0
0179,1996/08/09,168,382,1883.0,621.0,3077.0,1056,256603000.0
