target_round,actual,set_pick,set_hit,set_prize,set_profit,match_exact,match_box
6914,388,683,外れ,0,-200,0,0
6913,470,856,外れ,0,-200,0,0
6912,160,161,外れ,0,-200,0,0
6911,105,407,外れ,0,-200,0,0
6910,037,609,外れ,0,-200,0,0
